name,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Arches NP,"2,332","1,886","2,236","2,542","1,695","1,425","1,596","1,906","2,137","1,818","2,297","2,228","2,850","3,033","2,289","1,267",868,555,728,420,817,643,414,402,341,378,471,286,277,366,808,923,"1,192",851,953,"1,211"
Katmai NP & PRES,"1,703","1,328","1,339","1,739",190,367,387,"2,564","2,038","3,079","2,901","5,812","5,327","5,424","8,159","10,422",-1,-1,"8,365","6,667","12,952","21,231","20,903","21,186",345,316,653,461,494,-1,383,483,400,"2,754",483,483
Kenai Fjords NP,-1,-1,-1,478,451,561,"1,430","1,762","1,934",7,427,417,"1,098",80,12,44,90,38,20,"1,487","2,989","2,342","2,973","2,704","2,387","1,840","1,479","1,637",195,194,953,"1,692",541,514,279,432
Capitol Reef NP,"2,063","1,836","1,655","1,742","1,838","1,937","1,842","2,413","1,845","1,506","1,676","2,312","2,165","1,898","1,915","1,951","2,878","2,678","2,574","2,239","2,272","2,735","1,721","1,646","1,226","1,477","1,544","1,158","1,136","1,435","1,453","1,652","1,504","1,810","1,981","2,081"
Assateague Island NS,"11,506","2,918","2,533","2,372","1,898","2,226","2,458","2,473","1,813","2,512","2,497","2,330","2,444","2,214","1,785","2,038","1,995","2,095","2,065","1,650","2,348","2,241","2,609","3,005","2,048","2,681","2,014","2,101","2,125","1,991","2,063","2,249","2,100","4,299","1,584","2,034"
Gates of the Arctic NP & PRES,-1,-1,-1,"7,728","7,683","15,995","5,239","1,989","1,759","3,552","3,252","4,882","5,841","5,581","5,744","5,285","8,812","3,776","5,481","12,485","6,282",-1,"1,366","2,655","4,293","5,345","4,383","6,040","5,461","6,274","4,638","7,175","6,576","5,708","7,646","6,166"
Padre Island NS,"1,380",995,168,357,"1,719",405,481,"1,145","1,718","3,342","1,423",64,"19,773","21,967","21,989","21,992","21,988","21,983","21,999","22,008","5,627","5,682","5,546","5,568","13,642","13,609","13,625","13,660","13,634","13,633","13,646","13,596","13,638","13,630","13,608","13,638"
Mammoth Cave NP,"2,491","3,250","1,776","2,196","1,998","1,909","2,064","2,017","1,636","2,121","2,200","3,277","3,331","2,578","3,452","4,018","3,394","3,550","4,418","4,276","4,329","4,879","4,981","5,125","6,085","6,024","5,492","6,329","6,297","5,236","5,737","4,981","5,114","5,348","5,669","4,744"
Channel Islands NP,-1,-1,-1,-1,"1,333","1,913","1,831","1,891","1,596","1,786","1,805","1,739","1,437","2,330","1,672","1,553","5,258","6,165","9,287","11,314","9,459","10,227","10,326","13,338","15,318","17,086","19,174","17,692","17,801","16,949","20,197","37,071","22,831","19,785","20,032","23,068"
Saguaro NP,"3,622","3,881","3,144","2,799","2,714","2,301","1,834","1,796","1,549","1,822","1,247","1,129","1,516","1,523","1,593","1,501","1,539","1,573","1,592","1,839","1,594","1,560","1,683","1,424","1,208","2,203","1,447","1,552","1,295","1,599","1,599","1,568","2,033","1,545","1,610","1,377"
Blue Ridge PKWY,"1,531","1,650","1,491","1,992","2,194","1,638","1,331","1,307","1,543","1,464","1,466","2,536","4,809","6,214","7,245","7,493","7,732","8,561","8,933","6,088","7,183","5,652","3,988","7,973","3,092","3,330","1,442","1,340","1,829","2,071","2,598","2,829","2,662","2,582","2,173","2,429"
Cumberland Gap NHP,"2,322","2,794","2,622","3,232","2,422","2,425","1,933","1,995","1,466","1,672","1,451","1,825","1,634","1,803","1,940","2,087","1,694","2,194","2,165","2,171","1,860","1,665","1,897","1,525","1,742","1,734","1,579","1,957","1,790",956,715,"1,765","1,626","1,295","1,382","1,427"
Crater Lake NP,"2,692","1,902","2,618","2,154","2,055","1,649","1,185","1,376","1,466","1,508","1,153",911,"1,775","1,440","1,558","1,633",743,926,"1,839","1,214","1,258","1,482","2,009","1,464","1,500","1,830","1,142","1,095","1,442","1,349","1,852","1,815","1,925","2,066","3,022","2,929"
Canyon de Chelly NM,131,15,744,239,200,"1,356",638,"1,039","1,352","1,636","2,458","1,128","1,489","1,774","1,483","1,729","2,872","1,841","2,601","1,574","1,746","1,310","1,148","1,246","1,520","1,236","1,349","1,253","1,446","1,182","1,230",896,"1,042",896,527,827
