name,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Noatak NPRES,0,0,0,"8,940","3,635","6,510","5,850","4,140","6,855","5,902","3,429","2,529","3,033","2,776","4,763","4,735",0,"4,744","4,744",0,0,0,0,20,30,0,409,"1,061",542,710,"1,164",540,"4,677","9,600","4,775",0,0
Cape Lookout NS,"3,103","5,063","3,461","5,146","3,286","4,335","9,007","9,269","6,312","6,205","7,387","8,111","9,538","6,444","6,255","6,941","8,395","6,386","6,753","7,598","8,989","8,988","11,190","9,007","6,799","13,200","8,906","8,626","11,849","12,162","8,841","11,346","14,033","9,803","4,733","2,593","15,125"
Voyageurs NP,"24,686","16,093","8,535","10,094","10,897","9,452","8,054","8,084","8,205","7,948","7,481","10,897","9,101","18,457","17,280","16,776","18,466","18,493","16,615","16,418","16,732","16,553","18,346","17,740","17,657","18,069","18,955","19,023","18,257","18,626","17,776","35,560","21,915","28,837","21,807","31,941","50,462"
Rio Grande W&SR,0,0,0,0,0,0,"5,652","6,467","5,406","6,510","5,215","4,394","5,182","6,943","3,295","5,595","3,947","4,069","3,454","3,580","5,412","4,123","5,651","3,028","3,165","4,125","2,336",953,"8,765","6,631","4,661","6,046","4,871","3,945","2,687","1,183",730
Glacier Bay NP & PRES,"1,399","1,566",882,924,"1,519","1,519","1,631","2,048","2,459","2,165","3,215","1,743","1,250","1,844","1,996","1,409",681,773,751,"1,340","1,280",971,"1,272",798,479,680,424,454,582,532,389,498,810,628,807,764,658
Whiskeytown NRA,"40,531","46,282","37,432","31,375","16,176","12,224","14,468","9,059","31,419","5,942","15,023","10,039","4,503","2,380","4,266","2,426","2,314",498,"1,876","1,246","1,268","1,176",722,828,866,"2,674","3,062","1,986","3,159","2,302","2,164","1,550","1,911","2,012","2,158","2,580","2,478"
Bighorn Canyon NRA,"13,932","11,769","12,576","12,981","12,706","10,464","15,160","13,341","12,528","10,674","10,089","11,727","10,121","11,694","10,487","9,338","9,683","7,786","6,345","10,212","9,407","9,759","11,191","5,425","7,488","8,003","8,232","7,598","8,973","10,234","9,143","11,760","6,129","9,990","7,578","6,306","9,315"
Buffalo NR,"30,564","24,859","26,410","27,704","22,447","16,213","18,714","18,080","20,923","19,768","21,576","23,872","22,490","27,300","25,830","27,862","26,301","25,291","17,883","20,464","19,873","18,730","21,080","17,402","17,093","18,246","13,118","14,526","15,644","10,200","13,085","18,040","15,700","16,015","15,056","16,865","16,057"
Hawaii Volcanoes NP,"1,618","1,698","1,610","3,053","3,094","2,670","2,688","2,248","1,709","1,197",900,516,328,706,319,357,418,259,301,520,385,689,554,326,355,440,537,826,293,397,492,606,757,890,481,99,"1,661"
Bandelier NM,"6,791","7,427","7,632","7,508","6,539","7,053","8,285","8,037","10,414","8,241","9,455","7,677","7,861","7,369","7,416","7,969","6,894","5,254","4,057","5,219","6,030","2,563","4,235","4,450","4,359","4,132","4,157","3,673","3,796","3,374","3,736","1,288","2,946","2,471","2,167","3,089","3,423"
Haleakala NP,"3,251","2,488","2,523",487,131,123,96,76,182,219,163,286,30,"16,637","18,300","17,836","20,131","22,611","20,389","17,212","17,583","18,226","17,644","16,849","10,978","8,621","11,050","12,140","14,168","14,328","11,141","16,112","15,908","15,545","8,045","7,907","7,896"
Joshua Tree NP,"76,812","72,696","66,651","70,371","75,207","75,544","68,195","70,222","71,643","67,343","70,186","51,240","50,355","50,736","45,846","39,885","40,284","50,265","40,797","49,773","55,785","49,026","44,856","47,526","44,085","33,126","61,872","39,324","40,032","34,809","37,821","43,704","40,692","46,530","46,758","62,214","74,952"
Organ Pipe Cactus NM,"52,687","52,059","57,595","55,204","53,797","51,420","50,890","54,389","54,020","45,043","47,943","52,868","44,846","49,242","45,464","46,892","44,058","41,112","41,736","48,605","36,378","32,427","31,633","27,544","21,125","34,309","21,214","19,024","14,811","15,921","15,788","19,188","10,592","12,506","13,175","14,176","18,154"
Lake Clark NP & PRES,0,0,0,"1,612",816,"1,232","2,332","1,975","2,967","2,962",363,"1,012",859,"2,381","2,369","2,737","3,302","3,119","3,184","3,008","2,878","2,009","2,338","2,350","1,970","2,000","1,960","1,665","1,477","2,346","3,321","5,149","1,931","3,237","2,376","2,174","2,166"
Lake Meredith NRA,438,"2,230","1,245","1,018","1,320","1,337","1,714","1,513","2,915","5,396","8,570","7,848","13,478","7,428","67,293","65,867","78,396","93,134","92,194","75,835","64,111","65,881","56,259","41,249","34,986","28,358","37,277","36,549","38,321","25,756","30,075","17,469","13,318","10,823","9,768","14,099","24,657"
Wrangell-St. Elias NP & PRES,0,0,0,698,874,"1,931","2,178","2,757","2,716","2,896","3,094","1,446","1,681","1,642","5,844","7,815","14,033","23,571","26,834","4,557","6,584","2,009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apostle Islands NL,"3,312","2,151","2,903","2,833","2,949","2,806","2,766","3,149","3,099","7,753","7,454","7,824","8,669","7,387","9,214","10,958","12,401","13,120","12,897","15,321","15,250","18,511","19,263","20,028","16,384","14,920","15,536","15,000","16,207","14,746","15,766","15,533","14,665","14,376","14,064","12,795","13,572"
Bryce Canyon NP,"48,403","51,608","44,133","44,055","41,260","41,394","43,898","35,226","48,143","49,312","49,615","47,069","43,384","48,273","39,591","49,078","60,327","68,726","64,828","61,808","59,779","58,714","54,690","42,370","39,395","39,444","42,517","47,901","50,455","49,545","56,155","52,279","45,014","50,386","48,291","50,005","56,658"
Guadalupe Mountains NP,"8,366","4,619","5,744","7,733","7,473","6,892","6,948","7,323","7,083","7,332","5,919","6,155","6,426","6,415","6,300","6,536","6,767","6,329","6,129","5,768","6,565","5,651","5,445","5,223","5,039","4,653","4,213","4,839","4,545","4,616","4,947","4,679","3,575","4,150","3,589","5,073","4,816"
