name,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Cape Lookout NS,"3,103","5,063","3,461","5,146","3,286","4,335","9,007","9,269","6,312","6,205","7,387","8,111","9,538","6,444","6,255","6,941","8,395","6,386","6,753","7,598","8,989","8,988","11,190","9,007","6,799","13,200","8,906","8,626","11,849","12,162","8,841","11,346","14,033","9,803","4,733","2,593"
Voyageurs NP,"24,686","16,093","8,535","10,094","10,897","9,452","8,054","8,084","8,205","7,948","7,481","10,897","9,101","18,457","17,280","16,776","18,466","18,493","16,615","16,418","16,732","16,553","18,346","17,740","17,657","18,069","18,955","19,023","18,257","18,626","17,776","35,560","21,915","28,837","21,807","31,941"
Rio Grande W&SR,0,0,0,0,0,0,"5,652","6,467","5,406","6,510","5,215","4,394","5,182","6,943","3,295","5,595","3,947","4,069","3,454","3,580","5,412","4,123","5,651","3,028","3,165","4,125","2,336",953,"8,765","6,631","4,661","6,046","4,871","3,945","2,687","1,183"
Glacier Bay NP & PRES,"1,399","1,566",882,924,"1,519","1,519","1,631","2,048","2,459","2,165","3,215","1,743","1,250","1,844","1,996","1,409",681,773,751,"1,340","1,280",971,"1,272",798,479,680,424,454,582,532,389,498,810,628,807,764
Whiskeytown NRA,"32,718","34,242","38,230","27,277","1,899","2,376","7,139","6,323","21,858","1,219","4,593","4,676","6,021","7,640","5,943","6,170","6,112","1,511","1,782","1,999","2,218","2,255","2,860","3,431","3,031","3,359","2,531","3,402","3,737","2,788","4,406","4,269","4,193","4,638",992,"5,470"
Bighorn Canyon NRA,"2,715","2,403","3,903","6,561","5,763","4,590","7,440","6,675","6,129","5,067","4,764","3,546","4,350","4,755","3,664","3,988","4,126","3,481","3,828","4,023","3,958","4,620","4,856","2,814","3,705","4,223","4,221","4,922","4,062","4,909","4,325","5,529","2,844","4,650","3,102","3,420"
Buffalo NR,"24,885","24,375","28,665","30,924","26,507","18,976","18,872","34,021","22,315","20,233","23,193","45,589","53,525","61,008","53,029","53,862","57,752","70,960","60,726","65,209","63,845","66,557","73,204","60,032","55,242","57,420","37,220","41,337","51,993","41,879","56,338","51,166","38,403","32,679","20,070","40,446"
Hawaii Volcanoes NP,"4,282","4,866","4,374","7,618","10,333","7,568","7,204","8,028","7,602","10,254","9,574","7,529","9,221","10,049","6,117","5,118","7,826","5,483","6,500","8,583","9,727","9,759","9,684","7,926","9,680","6,979","10,011","17,768","10,981","8,454","10,094","8,131","8,811","8,300","3,745",546
Bandelier NM,"11,121","12,223","12,877","13,790","14,456","10,858","12,819","11,287","15,368","12,904","13,130","10,836","10,952","12,458","13,135","13,332","12,806","8,099","7,019","9,723","10,012","5,609","7,425","8,481","7,013","5,925","5,891","4,898","5,385","5,071","5,850","1,438","3,301","4,504","4,609","4,442"
Haleakala NP,"9,755","7,462","8,275","8,184","11,361","12,727","11,537","12,387","13,412","12,614","12,834","12,769","16,570","16,637","18,300","17,836","20,131","22,611","20,389","17,212","17,583","18,226","17,644","16,849","10,978","8,621","11,050","12,140","14,168","14,328","11,141","16,112","15,908","15,545","8,045","7,907"
Joshua Tree NP,"51,000","55,656","53,634","62,339","65,880","66,842","66,714","74,826","77,370","72,512","85,130","122,841","138,444","142,539","151,545","153,882","141,747","144,729","130,905","131,259","134,982","139,671","128,532","175,536","191,480","148,168","148,036","150,400","157,028","131,380","159,456","165,152","164,380","179,412","181,056","192,548"
Organ Pipe Cactus NM,"3,952","4,621","5,337","5,935","7,092","6,867","5,920","7,496","5,362","4,487","5,974","5,032","8,621","7,203","8,171","7,407","6,852","7,050","7,215","6,806","5,819","6,673","7,558","6,032","4,153","3,687","4,059","3,466","2,704","3,661","3,043","3,928","2,086","2,302","2,689","3,457"
Lake Clark NP & PRES,0,0,0,"1,612",816,"1,232","2,332","1,975","2,967","2,962",363,"1,012",859,"2,381","2,369","2,737","3,302","3,119","3,184","3,008","2,878","2,009","2,338","2,350","1,970","2,000","1,960","1,665","1,477","2,346","3,321","5,149","1,931","3,237","2,376","2,174"
