name,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Amistad NRA,"1,261,846","1,084,689","976,414","1,259,668","1,221,445","1,164,338","1,139,366","1,206,669","1,219,967","1,284,606","1,321,168","1,306,474","1,215,691","1,559,659","1,505,084","1,591,903","1,422,321","1,238,990","1,084,433","1,129,811","1,164,166","1,234,506","1,097,650","1,047,784","1,071,199","1,445,772","1,399,852","1,599,271","1,734,200","1,980,717","2,573,966","1,574,322","1,436,759","1,367,502","1,025,151","1,130,096","1,250,051"
Sleeping Bear Dunes NL,"733,463","689,274","759,014","664,945","658,208","853,186","897,512","634,435","1,222,811","1,317,530","1,250,416","1,216,870","1,246,333","1,237,181","1,182,843","1,159,676","1,151,957","1,091,005","1,157,616","1,298,205","1,364,834","1,195,084","1,127,107","1,170,873","1,153,962","1,114,615","1,222,313","1,213,026","1,134,314","1,008,135","1,165,836","1,280,932","1,348,304","1,531,560","1,340,007","1,395,401","1,535,633"
Pictured Rocks NL,"270,376","311,000","329,775","356,415","441,271","407,697","397,884","406,619","474,934","553,774","565,242","561,973","704,894","583,110","610,811","581,281","462,687","403,684","413,963","455,120","442,916","422,683","421,312","429,229","382,456","381,854","476,888","419,298","441,521","398,774","448,215","499,281","561,104","593,587","575,450","527,897","723,178"
Lassen Volcanic NP,"380,014","394,425","415,045","414,859","429,867","463,275","451,497","439,723","472,431","495,628","466,115","460,917","463,179","468,011","434,264","385,489","351,001","351,632","391,816","318,049","353,756","374,911","376,695","388,149","404,384","379,667","365,535","388,741","395,057","377,361","365,639","384,570","351,269","407,653","427,409","432,977","468,092"
Zion NP,"1,040,528","1,123,846","1,288,808","1,246,290","1,273,030","1,377,254","1,503,272","1,670,503","1,777,619","1,948,332","1,998,856","2,102,400","2,236,997","2,390,626","2,392,580","2,270,871","2,430,162","2,498,001","2,445,534","2,370,048","2,449,664","2,432,348","2,217,779","2,592,545","2,458,792","2,677,342","2,586,665","2,567,350","2,657,281","2,690,154","2,735,402","2,665,972","2,825,505","2,973,607","2,807,387","3,189,696","3,648,846"
Noatak NPRES,0,0,0,"4,170","4,605","7,835","7,005","5,570","4,475","5,350","5,280","5,126","5,569","5,466","7,053","7,103","7,103","7,103","7,103","2,100","3,927","2,257","3,912","3,586","3,674","8,393","7,010","3,272","1,384","2,147","2,474","3,257","11,722","31,000","16,907",0,0
Cape Lookout NS,"50,106","64,959","51,957","62,653","68,000","86,279","100,380","95,575","88,898","100,444","232,644","283,074","320,161","335,281","294,085","257,940","348,390","379,370","374,893","357,443","553,243","446,148","625,387","610,337","704,480","720,216","692,857","803,155","860,602","486,899","601,954","530,181","508,116","480,294","416,568","430,927","400,413"
Voyageurs NP,"195,277","266,935","257,490","143,724","146,454","154,723","183,984","172,137","201,727","223,735","209,626","223,554","221,857","227,498","228,143","224,181","210,938","246,588","223,418","231,958","228,898","227,371","243,374","238,227","234,231","249,041","234,577","231,875","220,650","221,585","222,429","253,891","177,184","214,841","233,390","239,160","238,313"
Rio Grande W&SR,0,0,0,0,0,0,702,805,743,822,662,525,628,962,470,693,493,498,489,462,678,909,"1,086",939,656,588,319,135,"1,660","1,606",947,"1,103",873,694,703,321,120
Glacier Bay NP & PRES,"91,032","95,005","85,071","90,354","92,057","108,297","130,943","136,877","130,926","148,756","150,270","186,427","203,653","211,424","242,276","250,614","252,265","304,374","347,046","403,512","442,607","384,684","380,114","408,143","366,319","353,686","359,829","413,382","438,211","418,911","438,361","444,530","431,986","454,337","500,590","500,727","551,353"
Whiskeytown NRA,"1,162,390","1,149,628","1,217,135","1,377,648","1,082,532","1,299,089","1,246,433","1,728,722","1,742,251","1,352,456","1,550,783","2,002,858","1,537,073","785,975","446,180","950,586","914,470","844,151","697,435","752,478","716,526","702,883","695,018","696,590","750,951","745,185","740,275","749,979","782,014","676,281","853,812","788,065","761,710","814,374","776,025","851,901","843,845"
Bighorn Canyon NRA,"297,152","322,728","341,157","391,017","373,150","379,625","456,020","455,228","452,103","441,172","455,401","463,311","481,098","459,660","397,336","410,594","378,180","301,533","190,509","279,637","234,013","238,049","241,388","167,792","228,701","149,011","194,519","177,414","213,063","178,533","205,293","258,637","201,010","245,831","241,527","224,083","245,173"
Buffalo NR,"675,832","576,352","580,075","606,935","655,774","510,009","761,086","972,516","1,052,496","1,058,464","1,059,334","920,768","981,833","1,190,674","1,002,084","957,256","700,564","716,530","580,305","651,223","796,279","731,783","794,676","765,628","635,344","1,191,021","984,059","1,068,090","1,194,043","1,405,802","1,522,586","1,545,599","1,169,802","1,093,083","1,125,227","1,357,057","1,463,304"
Hawaii Volcanoes NP,"1,632,589","1,692,338","1,931,852","1,995,397","2,247,974","2,008,608","816,652","898,023","1,006,058","983,007","1,056,188","1,096,816","1,238,653","1,151,661","1,143,741","1,174,289","1,175,028","1,231,557","1,832,087","1,352,373","1,502,855","1,514,636","1,343,286","1,110,998","1,122,524","1,307,391","1,661,196","1,612,246","1,467,779","1,270,538","1,233,105","1,304,667","1,352,123","1,483,928","1,583,209","1,693,005","1,832,660"
Bandelier NM,"161,336","176,410","197,574","210,850","199,775","215,500","238,434","237,977","261,527","249,561","322,273","327,918","345,725","360,204","366,638","430,138","395,677","363,447","409,303","354,672","332,764","248,276","313,850","291,436","287,096","263,285","250,161","243,765","224,134","207,656","212,544","234,896","193,914","150,289","126,682","130,106","174,073"
Haleakala NP,"673,955","560,238","631,684","771,762","864,289","1,003,821","1,194,651","1,281,219","1,333,900","1,314,683","1,367,761","1,260,601","1,228,332","1,183,124","1,317,433","1,527,329","1,594,596","1,553,344","1,673,561","1,476,842","1,963,187","1,620,083","1,410,974","1,521,080","1,444,668","1,455,477","1,474,681","1,426,068","1,322,817","1,185,068","1,109,104","1,105,606","956,989","1,094,668","785,300","1,142,040","1,216,772"
Joshua Tree NP,"590,543","545,357","612,966","673,201","671,426","663,798","641,172","783,224","830,085","955,246","990,214","1,022,396","1,145,458","1,220,539","1,252,401","1,184,871","1,235,702","1,095,046","1,226,273","1,410,312","1,316,340","1,233,935","1,280,917","1,178,376","1,283,346","1,243,659","1,375,111","1,256,421","1,298,979","1,392,446","1,304,471","1,434,976","1,396,237","1,396,117","1,383,340","1,589,904","2,025,756"
Organ Pipe Cactus NM,"131,634","148,311","177,750","151,934","205,090","182,011","175,581","219,912","247,089","240,253","216,814","218,421","228,842","260,677","251,776","274,757","412,453","399,721","168,169","182,126","156,107","258,306","329,028","294,434","277,566","229,584","280,068","313,103","341,594","340,290","330,064","209,602","211,405","161,743","206,860","224,548","222,723"
Lake Clark NP & PRES,0,0,0,"10,440","12,332","12,505","12,701","13,611","16,418","18,863","14,879","10,196","4,133","9,233","12,153","12,143","12,698","12,727","9,173","11,335","6,190","6,493","4,397","4,325","4,505","4,906","5,408","5,320","5,549","6,802","9,711","9,931","5,158","11,639","13,000","16,100","17,818"
Lake Meredith NRA,"1,849,425","1,570,790","1,559,283","1,909,655","1,844,870","1,944,648","1,597,719","1,406,693","1,280,496","1,321,739","1,274,916","1,358,778","1,280,021","1,296,962","1,480,987","1,535,448","1,470,137","1,676,466","1,683,646","1,636,419","1,779,138","1,615,751","1,248,278","936,234","972,722","768,715","1,113,192","1,037,610","984,108","875,280","1,080,644","883,586","734,030","502,457","554,272","692,195","831,374"
Wrangell-St. Elias NP & PRES,0,0,0,"14,871","18,760","22,183","23,171","26,557","29,191","31,046","33,221","35,976","38,971","42,229","45,335","50,146","54,430","31,467","31,833","27,859","29,252","28,331","28,643","40,352","43,311","57,221","56,224","50,336","61,085","65,693","59,966","73,170","65,225","87,158","69,984","74,722","80,366"
Apostle Islands NL,"75,629","88,467","103,960","125,756","130,913","127,300","117,353","113,621","137,341","140,107","135,016","140,980","141,038","113,106","129,793","147,376","167,909","168,614","183,636","236,829","193,260","181,760","185,435","169,674","169,699","151,881","175,245","189,051","182,396","162,871","170,202","156,945","176,040","163,419","148,556","290,059","232,662"
Bryce Canyon NP,"558,095","571,541","474,092","471,517","472,633","495,104","500,782","578,018","718,342","791,348","808,045","862,659","929,067","1,018,174","1,107,951","1,028,134","994,548","1,269,600","1,174,824","1,166,331","1,081,521","1,099,275","1,068,619","886,436","903,760","987,253","1,017,681","890,676","1,012,563","1,043,321","1,216,377","1,285,492","1,296,000","1,385,352","1,311,875","1,435,741","1,745,804"
Guadalupe Mountains NP,"110,478","113,825","142,641","140,620","142,736","151,862","147,758","163,313","156,344","178,910","168,872","192,890","200,398","175,120","201,054","203,520","208,972","223,485","231,980","227,924","219,591","198,762","222,307","202,911","181,357","182,351","170,383","174,157","165,110","163,709","198,882","192,210","152,546","159,360","145,670","166,868","169,535"
Klondike Gold Rush NHP Alaska,0,0,0,"49,688","52,155","61,752","81,954","100,649","102,155","105,590","87,736","103,404","110,597","148,019","403,250","401,034","429,570","480,817","655,858","679,980","693,883","697,051","713,436","754,436","844,576","843,623","888,255","903,079","975,043","935,940","880,512","797,716","795,150","854,250","928,150","1,085,202","919,661"
Arches NP,"269,840","290,519","326,508","339,415","287,875","345,180","363,464","419,444","468,916","520,455","555,809","620,719","705,882","799,831","773,678","777,178","859,374","856,016","858,525","837,161","869,980","786,429","754,026","769,672","757,781","733,131","781,670","833,049","860,181","928,795","996,312","1,014,405","1,040,758","1,070,577","1,082,866","1,284,767","1,399,247"
